,valor,cod_estado,ano,nome_estado,uf
0,206167175.18,12,2014,Acre,AC
1,803404074.28,27,2014,Alagoas,AL
2,639520564.71,13,2014,Amazonas,AM
3,167830200.87,16,2014,Amapá,AP
4,3173315360.35,29,2014,Bahia,BA
5,2061292960.82,23,2014,Ceará,CE
6,2143707946.28,53,2014,Distrito Federal,DF
7,800301560.62,32,2014,Espírito Santo,ES
8,1368336845.3,52,2014,Goiás,GO
9,1349239276.65,21,2014,Maranhão,MA
10,4889424442.33,31,2014,Minas Gerais,MG
11,712884111.83,50,2014,Mato Grosso do Sul,MS
12,668851883.85,51,2014,Mato Grosso,MT
13,1423567324.3,15,2014,Pará,PA
14,963308634.15,25,2014,Paraíba,PB
15,2474956973.67,26,2014,Pernambuco,PE
16,746179372.41,22,2014,Piauí,PI
17,2572795280.77,41,2014,Paraná,PR
18,3507379566.72,33,2014,Rio de Janeiro,RJ
19,857712591.1,24,2014,Rio Grande do Norte,RN
20,335493276.15,11,2014,Rondônia,RO
21,100740282.44,14,2014,Roraima,RR
22,2906870064.62,43,2014,Rio Grande do Sul,RS
23,1502120983.01,42,2014,Santa Catarina,SC
24,526384969.86,28,2014,Sergipe,SE
25,8381191474.97,35,2014,São Paulo,SP
26,381545219.04,17,2014,Tocantins,TO
